unique_id,mean,std,cv,zero_pct,trend,ramp_up,second_half_mean,train_start,active_weeks,bucket,history_length,recent_mean,recent_zero_pct
CA-SC-10-F-34-GR-1TO,0.9009009009009009,1.2941653886742726,1.4365235814284425,0.5675675675675675,0.02722885222885223,False,1.6964285714285714,2025-11-10,39,smooth,short,2.3076923076923075,0.07692307692307693
CA-SC-10-F-34-WH-1TO,0.009009009009009009,0.09448728361893259,10.488088481701517,0.990990990990991,8.775008775008772e-06,False,0.017857142857142856,2024-06-24,110,intermittent,full,0.0,1.0
CA-SC-10-F-34-WR-1TO,0.12612612612612611,0.4053052929442159,3.2134919654862837,0.9009009009009009,0.004966654966654967,False,0.25,2024-06-24,110,intermittent,full,0.5384615384615384,0.5384615384615384
CA-SC-10-F-36-BE-1TO,0.7027027027027027,1.3529720011658193,1.9253832324282811,0.6846846846846847,0.022507897507897508,False,1.3928571428571428,2024-06-24,110,intermittent,full,1.7692307692307692,0.15384615384615385
CA-SC-10-F-36-BK-1TO,2.9791666666666665,1.7498759876694756,0.5873709608960478,0.0625,0.007001736864958727,True,2.5892857142857144,2025-06-30,58,smooth,medium,2.6153846153846154,0.07692307692307693
CA-SC-10-F-36-BR-1TO,0.4144144144144144,0.7994194793325771,1.9290339609981753,0.7477477477477478,0.013329238329238331,False,0.8214285714285714,2024-06-24,110,intermittent,full,1.1538461538461537,0.15384615384615385
CA-SC-10-F-36-DB-1TO,0.38738738738738737,0.7494282646156909,1.934570636566086,0.7387387387387387,0.013144963144963146,False,0.7678571428571429,2024-06-24,110,intermittent,full,1.0769230769230769,0.23076923076923078
CA-SC-10-F-36-DG-1TO,3.7142857142857144,2.531435020952764,0.681540197948821,0.04081632653061224,0.046326530612244905,True,3.267857142857143,2025-09-01,48,smooth,short,4.846153846153846,0.07692307692307693
CA-SC-10-F-36-GR-1TO,0.8288288288288288,1.3481644102284913,1.6265896688626362,0.6486486486486487,0.028071253071253077,False,1.6428571428571428,2025-10-13,43,smooth,short,2.5384615384615383,0.15384615384615385
CA-SC-10-F-36-RD-1TO,0.009009009009009009,0.09448728361893259,10.488088481701517,0.990990990990991,7.020007020007022e-05,False,0.017857142857142856,2024-06-24,110,intermittent,full,0.0,1.0
CA-SC-10-F-36-WR-1TO,0.12612612612612611,0.38243216714938955,3.0321407538273033,0.8918918918918919,0.004071604071604072,False,0.25,2024-06-24,110,intermittent,full,0.3076923076923077,0.7692307692307693
CA-SC-10-F-37-BE-1TO,0.02702702702702703,0.1621621621621622,6.000000000000001,0.972972972972973,0.0006932256932256932,False,0.05357142857142857,2024-06-24,110,intermittent,full,0.0,1.0
CA-SC-10-F-37-BK-1TO,0.02702702702702703,0.1621621621621622,6.000000000000001,0.972972972972973,0.001140751140751141,False,0.05357142857142857,2024-06-24,110,intermittent,full,0.15384615384615385,0.8461538461538461
CA-SC-10-F-37-BR-1TO,0.009009009009009009,0.09448728361893259,10.488088481701517,0.990990990990991,0.00014040014040014043,False,0.017857142857142856,2024-06-24,110,intermittent,full,0.0,1.0
CA-SC-10-F-37-DG-1TO,0.02702702702702703,0.1621621621621622,6.000000000000001,0.972972972972973,0.001140751140751141,False,0.05357142857142857,2024-06-24,110,intermittent,full,0.15384615384615385,0.8461538461538461
CA-SC-10-F-37-GR-1TO,0.05405405405405406,0.2952426956427738,5.4619898693913145,0.963963963963964,0.0021235521235521237,False,0.10714285714285714,2024-06-24,110,intermittent,full,0.23076923076923078,0.8461538461538461
